#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
5000,-653412.4308629867,303.0345948651226,621.30878493684,0.9472667164003162
10000,-805255.9475344929,24.838148585599214,621.30878493684,0.9472667164003162
15000,-789680.3326960304,55.18371530661655,621.30878493684,0.9472667164003162
20000,-774174.2079916021,85.0298231681063,621.30878493684,0.9472667164003162
25000,-757738.8401055282,114.48882840178854,621.30878493684,0.9472667164003162
30000,-742101.661433287,144.58383710789101,621.30878493684,0.9472667164003162
35000,-725943.5155369486,174.74030669392255,621.30878493684,0.9472667164003162
40000,-708982.4942833809,205.68695322358067,621.30878493684,0.9472667164003162
45000,-692367.4589030272,234.78987806062014,621.30878493684,0.9472667164003162
50000,-675697.7962588202,265.07855145187756,621.30878493684,0.9472667164003162
55000,-657977.8883876584,297.4525757678667,621.30878493684,0.9472667164003162
60000,-591202.8146125614,352.44403501471714,621.30878493684,0.9472667164003162
